,area_codi
0,ES
1,ES
2,nay
3,ES
4,nay
5,ES
6,nay
7,nay
8,nay
9,nay
10,ES
11,ES
12,ES
13,ES
14,ES
15,ES
16,ES
17,ES
18,ES
19,ES
20,ES
21,ES
22,ES
23,ES
24,ES
25,ES
26,ES
27,ES
28,ES
29,ES
30,ES
31,ES
32,ES
33,ES
34,ES
35,ES
36,ES
37,ES
38,ES
39,ES
40,ES
41,ES
42,nvr
43,ES
44,ES
45,ES
46,ES
47,ES
48,ES
49,ES
50,ES
51,ES
52,ES
53,ES
54,ES
55,AR
56,nvr
57,ES
58,ES
59,ES
60,ES
61,ES
62,ES
63,ES
64,ES
65,ES
66,ES
67,ES
68,ES
69,nay
70,ES
71,ES
72,ES
73,ES
74,ES
75,ES
76,ES
77,ES
78,ES
79,ES
80,ES
81,ES
82,ES
83,ES
84,ES
85,ES
86,ES
87,ES
88,ES
89,ES
90,ES
91,ES
92,ES
93,ES
94,ES
95,ES
96,ES
97,nay
98,nay
99,ES
100,ES
101,ES
102,ES
103,ES
104,ES
105,ES
106,ES
107,ES
108,ES
109,ES
110,ES
111,ES
112,ES
113,ES
114,ES
115,ES
116,ES
117,ES
118,ES
119,nvr
120,nay
121,fake
122,nay
123,ES
124,ES
125,ES
126,ES
127,ES
128,ES
129,ES
130,nay
131,ES
132,ES
133,ES
134,ES
135,ES
136,nay
137,ES
138,ES
139,ES
140,ES
141,ES
142,ES
143,ES
144,ES
145,ES
146,ES
147,ES
148,ES
149,ES
150,ES
151,ES
152,nay
153,nay
154,ES
155,ES
156,nay
157,ES
158,nvr
159,ES
160,ES
161,ES
162,nay
163,ES
164,ES
165,ES
166,ES
167,ES
168,nay
169,ES
170,ES
171,ES
172,ES
173,ES
174,ES
175,ES
176,ES
177,ES
178,ES
179,ES
180,ES
181,FR
182,nay
183,DE
184,MX
185,ES
186,ES
187,ES
188,FI
189,ES
190,ES
191,ES
192,ES
193,AT
194,ES
195,nay
196,ES
197,nay
198,nay
199,nay
200,ES
201,nay
202,ES
203,ES
204,nay
205,ES
206,nay
207,ES
208,nay
209,ES
210,nay
211,ES
212,ES
213,ES
214,nay
215,ES
216,nay
217,ES
218,ES
219,AT
