,area_codi
0,nay
1,ES
2,nay
3,ES
4,nay
5,ES
6,ES
7,nay
8,ES
9,ES
10,ES
11,ES
12,ES
13,ES
14,ES
15,ES
16,nay
17,nay
18,ES
19,ES
20,ES
21,ES
22,ES
23,ES
24,ES
25,ES
26,ES
27,ES
28,ES
29,ES
30,ES
31,ES
32,ES
33,ES
34,ES
35,ES
36,ES
37,ES
38,ES
39,ES
40,ES
41,ES
42,nvr
43,ES
44,ES
45,ES
46,ES
47,ES
48,ES
49,ES
50,ES
51,ES
52,ES
53,ES
54,ES
55,AR
56,nvr
57,ES
58,nay
59,ES
60,ES
61,nay
62,ES
63,ES
64,ES
65,ES
66,ES
67,ES
68,ES
69,nay
70,ES
71,nay
72,ES
73,ES
74,ES
75,ES
76,ES
77,ES
78,ES
79,ES
80,nay
81,nay
82,ES
83,ES
84,ES
85,ES
86,ES
87,ES
88,ES
89,ES
90,ES
91,ES
92,ES
93,ES
94,ES
95,ES
96,nay
97,ES
98,nay
99,ES
100,ES
101,ES
102,ES
103,ES
104,ES
105,nay
106,nay
107,ES
108,ES
109,ES
110,ES
111,ES
112,nay
113,ES
114,ES
115,ES
116,ES
117,ES
118,ES
119,nvr
120,nay
121,fake
122,AR
123,ES
124,ES
125,ES
126,ES
127,ES
128,ES
129,nay
130,ES
131,nay
132,ES
133,nay
134,ES
135,nay
136,ES
137,ES
138,ES
139,nay
140,ES
141,ES
142,ES
143,ES
144,nay
145,ES
146,ES
147,nay
148,ES
149,nay
150,ES
151,ES
152,ES
153,nay
154,ES
155,ES
156,ES
157,nay
158,ES
159,nvr
160,ES
161,nay
162,ES
163,nay
164,ES
165,ES
166,ES
167,ES
168,ES
169,nay
170,ES
171,ES
172,ES
173,ES
174,ES
175,ES
176,ES
177,ES
178,ES
179,ES
180,ES
181,ES
182,FR
183,nay
184,DE
185,MX
186,ES
187,nay
188,ES
189,FI
190,ES
191,ES
192,nay
193,ES
194,nay
195,ES
196,nay
197,ES
198,nay
199,nay
200,nay
201,ES
202,ES
203,ES
204,ES
205,ES
206,ES
207,ES
208,ES
209,nay
210,nay
211,ES
212,nay
213,ES
214,ES
215,nay
216,nay
217,nay
218,nay
219,nay
220,nay
221,nay
222,ES
